Artikelnummer;GTIN;HAN;Artikelname;Beschreibung;Brutto-VK;Artikel mit Seriennummer;Artikelgewicht;Versandgewicht;Breite;Höhe;Länge;Hersteller;Warengruppe;Herkunftsland;Lieferant;Artikelnummer (Lieferant);Artikelname (Lieferant);Netto-EK;Lieferzeit in Tagen (Lieferant);Mindestabnahme (Lieferant)
;;;850W - MSI MAG A850GL;Vollmodular - 80 PLUS Gold - ATX 3.0;;;;;;;;;;;;;;;;
;;;850W - MSI MAG A850G;Vollmodular - 80 PLUS Gold - ATX 3.0;;;;;;;;;;;;;;;;
;;;850W - be quiet! Pure Power 12 M;Vollmodular - 80 PLUS Gold - ATX 3.1;;;;;;;;;;;;;;;;
;;;850W - be quiet! Straight Power 12;Vollmodular - 80 PLUS Platinum - ATX 3.0;;;;;;;;;;;;;;;;
;;;1000W - MSI MAG A850GL;Vollmodular - 80 PLUS Gold - ATX 3.0;;;;;;;;;;;;;;;;
;;;1000W - MSI MAG A850G;Vollmodular - 80 PLUS Gold - ATX 3.0;;;;;;;;;;;;;;;;
;;;1000W - be quiet! Pure Power 12 M;Vollmodular - 80 PLUS Gold - ATX 3.1;;;;;;;;;;;;;;;;
;;;1000W - be quiet! Straight Power 12;Vollmodular - 80 PLUS Platinum - ATX 3.0;;;;;;;;;;;;;;;;
